"","2","","1013213 Мармелад Тропические лягушки 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","2","","","Упак","","831.00","","","","20%","","","","277.00","","","","1,662.00","","",""
"","3","","1013214 Мармелад Пицца ассорти  1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","2","","","Упак","","740.00","","","","20%","","","","246.67","","","","1,480.00","","",""
"","4","","1013215 Мармелад Черепа 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","6","","","Упак","","875.00","","","","20%","","","","875.00","","","","5,250.00","","",""
"","5","","1014202 Мармелад Бутылочка кола с начинкой 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","10","","","Упак","","831.00","","","","20%","","","","1,385.00","","","","8,310.00","","",""
"","6","","1014204 Мармелад Мозг 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","6","","","Упак","","875.00","","","","20%","","","","875.00","","","","5,250.00","","",""
"","7","","1015281 Мармелад Медведи  с начинкой 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","10","","","Упак","","875.00","","","","20%","","","","1,458.33","","","","8,750.00","","",""
"","8","","1016482 Мармелад Глаза  1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","6","","","Упак","","875.00","","","","20%","","","","875.00","","","","5,250.00","","",""
"","9","","1018665 Мармелад Гигантские дельфины 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","10","","","Упак","","875.00","","","","20%","","","","1,458.33","","","","8,750.00","","",""
"","10","","1019291 Мармелад Гигантский перчик 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","1","","","Упак","","664.00","","","","20%","","","","110.67","","","","664.00","","",""
"","11","","1019628 Мармелад Острое манго 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","3","","","Упак","","680.00","","","","20%","","","","340.00","","","","2,040.00","","",""
"","12","","1104308 Мармелад Арбузики 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","4","","","Упак","","890.00","","","","20%","","","","593.33","","","","3,560.00","","",""
"","13","","1150019 Мармелад Джелли бинс 1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","4","","","Упак","","875.00","","","","20%","","","","583.33","","","","3,500.00","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Итого:","","","","62,996.00","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","В т.ч. НДС (20%):","10,499.33","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Итого с НДС:","","","","","","62,996.00","","",""
"","Всего наименований 13, на сумму 62 996,00 RUB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Шестьдесят две тысячи девятьсот девяносто шесть рублей 00 копеек","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Руководитель","","","","","","","","","","","","","","","","","","","","","","Дмитриев Г.М.","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","подпись","","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Бухгалтер","","","","","","","","","","","","","","","","","","","","","","Дмитриев Г.М.","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","подпись","","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Менеджер","","","","","","","","","","","","","","","","","","","","","","Дмитриев Г.М.","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","подпись","","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","","","","","","","","","","","",""
